@relation train_twc_asr_w
@attribute agent_ring_count numeric
@attribute agent_speech_duration numeric
@attribute agent_speech_ratio numeric
@attribute agent_first_half_speech_ratio numeric
@attribute agent_spoke_first numeric
@attribute agent_first_speech_time numeric
@attribute agent_speech_duration_before_ring numeric
@attribute agent_speech_duration_after_ring numeric
@attribute agent_silence_duration numeric
@attribute agent_silence_ratio numeric
@attribute caller_ring_count numeric
@attribute caller_speech_duration numeric
@attribute caller_speech_ratio numeric
@attribute caller_first_half_speech_ratio numeric
@attribute caller_spoke_first numeric
@attribute caller_first_speech_time numeric
@attribute caller_speech_duration_before_ring numeric
@attribute caller_speech_duration_after_ring numeric
@attribute caller_silence_duration numeric
@attribute caller_silence_ratio numeric
@attribute analyzed_call_duration numeric
@attribute conversation_switch_count numeric
@attribute overlapping_speech_count numeric
@attribute overlapping_speech_duration numeric
@attribute overlapping_silence_count numeric
@attribute overlapping_silence_duration numeric
@attribute estimated_hold_time_duration numeric
@attribute agent_eighths_speech_seg_ratio_0 numeric
@attribute agent_eighths_speech_seg_ratio_1 numeric
@attribute agent_eighths_speech_seg_ratio_2 numeric
@attribute agent_eighths_speech_seg_ratio_3 numeric
@attribute agent_eighths_speech_seg_ratio_4 numeric
@attribute agent_eighths_speech_seg_ratio_5 numeric
@attribute agent_eighths_speech_seg_ratio_6 numeric
@attribute agent_eighths_speech_seg_ratio_7 numeric
@attribute caller_eighths_speech_seg_ratio_0 numeric
@attribute caller_eighths_speech_seg_ratio_1 numeric
@attribute caller_eighths_speech_seg_ratio_2 numeric
@attribute caller_eighths_speech_seg_ratio_3 numeric
@attribute caller_eighths_speech_seg_ratio_4 numeric
@attribute caller_eighths_speech_seg_ratio_5 numeric
@attribute caller_eighths_speech_seg_ratio_6 numeric
@attribute caller_eighths_speech_seg_ratio_7 numeric
@attribute overlapping_speech_ratio numeric
@attribute overlapping_silence_ratio numeric
@attribute overlapping_silence_large_count numeric
@attribute agent_speech_duration_after_last_hold numeric
@attribute eighths_overlapping_silence_seg_ratio_0 numeric
@attribute eighths_overlapping_silence_seg_ratio_1 numeric
@attribute eighths_overlapping_silence_seg_ratio_2 numeric
@attribute eighths_overlapping_silence_seg_ratio_3 numeric
@attribute eighths_overlapping_silence_seg_ratio_4 numeric
@attribute eighths_overlapping_silence_seg_ratio_5 numeric
@attribute eighths_overlapping_silence_seg_ratio_6 numeric
@attribute eighths_overlapping_silence_seg_ratio_7 numeric
@attribute caller_final_speech_ratio numeric
@attribute final_overlapping_silence_ratio numeric
@attribute final_switch_count numeric
@attribute agent_final_speech_end numeric
@attribute caller_final_speech_end numeric
@attribute classification {'No','Sale'}
@data
8,109.461257369615,0.482310514938086,0.633530351199581,1,0.2195,21.62086,18.2186171882086,108.850216818594,0.479618135096188,0,17.04127,0.0750876054816864,0.104806025429968,0,6.07619,-1,-1,209.910567,0.924912394518314,226.951837,21,5,2.8136,38,95.3808178390023,10.483807,0.76213,0.74057,0.84279,0.18863,0.63749,0.20401,0.48286,0,0.09637,0.03306,0.03728,0.25252,0.03411,0,0.08511,0.06225,0.0123973440232607,0.420268983498037,1,0,0.13236,0.23868,0.12978,0.5177,0.24504,0.68556,0.47529,0.93775,0.047392,0.952608000000001,0,28.72237,10.48381,'No'
5,143.39408984127,0.617469630131212,0.569850644438017,1,0.2195,16.2530649206349,41.6353722222222,84.0154335396825,0.361779057494534,0,0,0,0,0,-1,-1,-1,232.228571,1,232.228571,0,0,0,27,84.0154335396825,34.91067,0.73913,0.84124,0.40832,0.29071,0.58274,0.59693,0.77368,0.70701,0,0,0,0,0,0,0,0,0,0.361779057494534,3,85.6652849206349,0.19248,0.15876,0.59168,0.70929,0.41726,0.32127,0.21051,0.29299,0,0.3305215,0,0.60499,232.22857,'No'
8,401.257803922902,0.304617663690941,0.316365499510434,1,0.2195,16.402730430839,314.864141337868,907.242694698413,0.68873962663865,0,216.16883,0.164106076725816,0.166181634691091,0,21.66077,-1,-1,1101.081782,0.835893923274184,1317.250612,181,48,28.1561000000002,244,719.229964698413,268.60939,0.58329,0.35079,0.18705,0.14434,0.21396,0.30687,0.19966,0.45098,0.10289,0.2385,0.16621,0.15712,0.17633,0.1287,0.13976,0.20333,0.0213748999191964,0.54600844983203,19,76.09691,0.29934,0.42307,0.6568,0.70545,0.64994,0.5766,0.68436,0.3725,0.246496399999996,0.234186099999999,4,4.59387,2.96766,'No'
6,250.999540226757,0.324088510307942,0.426904836263186,1,0.22948,23.4267602267574,164.49614,515.596740605442,0.665734205853476,0,94.38554,0.12186982105854,0.181926639921241,0,52.99955,-1,-1,680.092827,0.87813017894146,774.478367,79,24,13.9184099999998,111,435.808070809524,267.71158,0.67165,0.41956,0.49583,0.12058,0,0.09862,0.24281,0.54366,0.03731,0.22519,0.23343,0.23178,0.02886,0.04277,0.00629,0.16933,0.0179713347629241,0.562711741707724,23,75.03942,0.27981,0.32454,0.31052,0.66784,0.97114,0.86665,0.7509,0.3303,0.1995485,0.800451500000003,0,22.27794,3.58042,'No'
3,338.989392063492,0.365136118773836,0.391919604014123,1,0.2195,14.6267620634921,233.03018,585.030533287982,0.630154757907444,0,116.45514,0.125437488093726,0.0616246876802301,0,64.84263,-1,-1,811.936697,0.874562511906274,928.391837,82,13,6.2258300000002,139,474.801223287982,202.639459977324,0.71334,0.3427,0.32954,0.1821,0.13764,0.24443,0.36719,0.60374,0.04608,0.01934,0.01014,0.17093,0.21656,0.28068,0.10122,0.15854,0.00670603698985367,0.511423306803571,15,141.08903,0.22683,0.61707,0.66031,0.66409,0.66032,0.48384,0.53159,0.24735,0,0.110251000000005,0,-0.04804,39.91113,'No'
10,203.656993877551,0.214194304537071,0.221456082313011,0,0.22948,16.2530625396825,127.789414535147,736.192802081633,0.77428377118187,0,181.72662,0.191129242584108,0.11956351953921,1,0.18957,-1,-1,769.078278,0.808870757415892,950.804898,88,14,7.81209000000012,169,562.278272081633,237.61,0.62726,0.11299,0,0.14557,0.31162,0.10695,0.11031,0.29886,0.04919,0.18922,0.02115,0.21869,0.2664,0.32846,0.20849,0.24744,0.0082162912879737,0.591370819885735,20,40.38812,0.30037,0.63256,0.97885,0.63575,0.43634,0.5682,0.68927,0.48964,0.3008155,0.578957499999996,3,3.82711,1.88156,'Sale'
7,373.311624058957,0.40108996942746,0.451513886953111,1,0.2195,7.63265,294.011874444444,551.953681920635,0.593024891643767,0,203.03868,0.218146911870418,0.225757735791036,0,56.44172,-1,-1,727.704177,0.781853088129582,930.742857,95,27,24.2149599999999,164,373.129961920635,110.04989,0.6351,0.35519,0.53449,0.28128,0.34596,0.12858,0.36307,0.56506,0.10239,0.35864,0.24175,0.20025,0.05051,0.38385,0.20754,0.20024,0.0260168099254077,0.400894789698757,9,122.94049,0.25153,0.27494,0.28104,0.53657,0.64332,0.509,0.43454,0.27621,0.178457650000003,0.282763849999998,4,4.25848,1.14557,'No'
6,232.80089,0.450551520078087,0.535262991151993,1,0.2195,21.67074,161.72245,276.058974129252,0.534271112215815,0,41.44578,0.0802121468686051,0.118831618859427,0,25.05306,-1,-1,475.256261,0.919787853131395,516.702041,52,9,3.14284999999999,76,238.304794129252,131.1619,0.75114,0.34936,0.46389,0.57666,0.09006,0.28625,0.31362,0.77344,0.04943,0.10134,0.20536,0.1192,0,0.04619,0.02672,0.09346,0.00608251903537573,0.46120350844376,12,70.21041,0.18475,0.47717,0.32055,0.30877,0.90994,0.66757,0.66646,0.15442,0.1182315,0.213332550000001,4,2.10157,5.58366,'Sale'
9,214.10330244898,0.234470249532609,0.397219532476183,1,0.2195,20.1142877324263,114.349999183673,689.105586909297,0.754657948143703,0,299.23981,0.327705514666267,0.387123707104471,0,31.69796,-1,-1,613.896516999999,0.672294485333732,913.136327,101,42,42.3835299999998,154,432.249306909296,140.18133,0.69345,0.29092,0.31251,0.292,0.12849,0.08208,0.05656,0.01976,0.23356,0.13767,0.60139,0.57587,0.21171,0.24947,0.20428,0.40769,0.0464153366225674,0.473367770100002,11,2.25488,0.21556,0.50777,0.1507,0.1573,0.70446,0.69083,0.77028,0.59004,0.652208149999998,0.347791849999999,0,22.9495,1.30869,'No'
6,323.30528,0.198730374234631,0.321290170597608,1,0.22948,21.64082,233.51936,1295.65653450794,0.79641850569934,0,166.01271,0.102045249573422,0.196866015031253,0,74.38095,-1,-1,1460.841168,0.897954750426578,1626.853878,98,29,19.1065999999998,165,1148.75042450794,894.50705,0.51487,0.09042,0.28187,0.398,0.07305,0.08463,0.08488,0.06211,0.12133,0.13507,0.15934,0.37172,0.02124,0,0,0.00765,0.0117445089927122,0.706117765118631,77,3.52209,0.3296,0.775,0.57778,0.29239,0.91345,0.91537,0.91512,0.93023,0,0.823895500000003,0,3.60303,68.76501,'No'
