product,call_id,dna_version,robocat_version,robocat,call_recording_duration,feature_version,agent_ring_count,agent_speech_duration,agent_speech_ratio,agent_first_half_speech_ratio,agent_spoke_first,agent_first_speech_time,agent_speech_duration_before_ring,agent_speech_duration_after_ring,agent_silence_duration,agent_silence_ratio,caller_ring_count,caller_speech_duration,caller_speech_ratio,caller_first_half_speech_ratio,caller_spoke_first,caller_first_speech_time,caller_speech_duration_before_ring,caller_speech_duration_after_ring,caller_silence_duration,caller_silence_ratio,analyzed_call_duration,conversation_switch_count,overlapping_speech_count,overlapping_speech_duration,overlapping_silence_count,overlapping_silence_duration,estimated_hold_time_duration
PFC,100000048689195,2,2,Hangup,145.763265,4,1,95.91205399,0.657998804,0.756048741,TRUE,0.22948,17.60000399,78.31205,47.93102383,0.328827869,0,0,0,0,FALSE,,,,145.763265,1,145.763265,0,0,0,19,47.93102383,
PFC,100000048798127,2,2,Hangup,81.867755,4,1,57.22992277,0.699053281,0.773319612,TRUE,0.22948,14.52698277,42.70294,22.65234471,0.276694343,0,0,0,0,FALSE,,,,81.867755,1,81.867755,0,0,0,11,22.65234471,
PFC,100000048986861,2,2,Conversation,753.528163,4,8,147.2253599,0.195381364,0.354483901,TRUE,0.22948,18.90703347,65.04215361,597.5028031,0.792940241,0,145.2001,0.19269366,0.155685462,FALSE,1.09751,,,608.328063,0.80730634,753.528163,43,8,5.52742,134,458.9376031,
PFC,100000048675416,2,2,Conversation,2926.811429,4,3,1287.67512,0.439958348,0.535339901,TRUE,0.2195,7.63265,1201.29143,1634.786196,0.558555355,0,962.06116,0.328706233,0.357898008,FALSE,5.8966,,,1964.750269,0.671293767,2926.811429,603,347,251.16048,601,924.184833,
PFC,100000048618957,2,2,Conversation,154.592653,4,1,97.4585,0.630421292,0.751626146,TRUE,0.22948,21.66077,75.79773,55.16862012,0.356864437,0,16.86169,0.109071742,0,FALSE,93.43764,,,137.730963,0.890928258,154.592653,6,1,1.79593,20,40.10286012,
PFC,100000048502985,2,2,Conversation,2963.696327,4,8,828.5967504,0.279582204,0.325757431,TRUE,0.2195,7.63265,446.2258062,2126.439259,0.717495662,0,592.92344,0.200062144,0.208764648,FALSE,57.57914,,,2370.772887,0.799937856,2963.696327,335,118,80.34765,462,1613.863469,
PFC,100000048624140,2,2,Conversation,1137.893878,4,7,323.6747287,0.284450716,0.293244883,TRUE,0.22948,7.6127,246.20081,806.9955665,0.709201079,0,134.37495,0.118090933,0.074442566,FALSE,155.1474,,,1003.518928,0.881909067,1137.893878,112,18,9.0497,213,681.6703165,
PFC,100000048574564,2,2,Conversation,181.133061,4,1,117.7723427,0.650197938,0.743313924,TRUE,0.22948,16.8217727,100.95057,61.37523077,0.338840576,2,21.07212964,0.116335083,0.059930193,FALSE,15.53469,0.60862,19.14650283,159.6718157,0.881516686,181.133061,28,7,3.18278,36,43.635541,
PFC,100000048986904,2,2,Hangup,63.373061,4,1,43.95011,0.693514078,0.785300555,TRUE,0.2195,7.63265,36.31746,17.42748615,0.274998333,0,0,0,0,FALSE,,,,63.373061,1,63.373061,0,0,0,10,17.42748615,
PFC,100000048818607,2,2,Conversation,2207.817143,4,8,902.2298206,0.408652421,0.44160544,TRUE,0.2195,7.62268,841.8470458,1296.897073,0.587411452,0,514.35099,0.232968111,0.221191398,FALSE,86.27393,,,1693.466153,0.767031889,2207.817143,285,118,87.82071,386,870.366793,
PFC,100000048706102,2,2,Conversation,277.577143,4,3,132.488912,0.477304833,0.634302468,TRUE,0.2195,19.85488195,47.03312,140.7381177,0.507023439,0,55.24444,0.199023736,0.033931468,FALSE,70.1805,,,222.332703,0.800976264,277.577143,37,8,3.61178,58,89.10545767,
PFC,100000048666556,2,2,Unknown,101.407347,4,1,66.9079402,0.659793814,0.784135566,TRUE,0.22948,13.7088502,53.19909,32.52389659,0.320725249,0,7.73244,0.07625128,0.026761769,FALSE,42.88254,,,93.674907,0.92374872,101.407347,6,1,0.36916,17,25.16061659,
PFC,100000048875210,2,2,Unknown,68.231837,4,1,53.42857297,0.783044621,0.764574797,TRUE,0.2195,20.97233297,32.45624,12.8807295,0.188778876,0,3.39229,0.049717114,0.014037728,FALSE,27.02857,,,64.839547,0.950282886,68.231837,8,2,0.69841,11,10.1868495,
PFC,100000048891181,2,2,Conversation,165.093878,4,10,79.47934175,0.481419073,0.641745551,TRUE,0.22948,20.81269184,0.558722404,74.59049367,0.451806539,0,19.36596,0.117302714,0.136218619,FALSE,26.75918,,,145.727918,0.882697286,165.093878,24,5,2.2848,34,58.23768005,
PFC,100000048945734,2,2,Conversation,2176.888163,4,3,146.6573763,0.067370193,0.111209155,TRUE,0.22948,14.36735628,42.75351,2025.880673,0.930631489,0,470.30151,0.216043028,0.247855581,FALSE,81.68436,,,1706.586653,0.783956972,2176.888163,73,7,8.14153,272,1563.720693,
PFC,100000048755108,2,2,Conversation,320.20898,4,6,141.4884,0.441862686,0.479471438,TRUE,0.2195,7.63265,73.5927,170.7786299,0.533334917,0,124.72645,0.389515778,0.552933587,FALSE,0.42902,,,195.48253,0.610484222,320.20898,61,29,30.83987,60,80.45397039,
PFC,100000048947298,2,2,Conversation,1038.158367,4,9,335.5073919,0.323175541,0.499037842,TRUE,0.2195,21.66077,246.5296223,692.7734241,0.667309965,0,66.61853,0.064169911,0.087091048,FALSE,23.54649,,,971.539837,0.935830089,1038.158367,76,12,7.91204,162,634.0669341,
PFC,100000048831762,2,2,Conversation,1527.954286,4,2,586.7672378,0.384021461,0.408970064,TRUE,0.2195,14.88616417,508.75455,938.3834201,0.614143649,0,192.6318,0.126071704,0.17938822,FALSE,130.30385,,,1335.322486,0.873928296,1527.954286,167,23,12.33207,320,758.0836901,
PFC,100000048719103,2,2,Conversation,380.499592,4,10,194.4380683,0.511007298,0.647476311,TRUE,0.22948,21.65079,18.69752782,177.0220679,0.465235894,0,32.88521,0.0864264,0.048404993,FALSE,79.31973,,,347.614382,0.9135736,380.499592,31,2,0.7383,71,144.8751579,
PFC,100000048755453,2,2,Conversation,186.409796,4,8,69.68162,0.373808788,0.516395608,TRUE,0.2195,7.63265,0,106.6211465,0.5719718,0,20.77281,0.111436257,0.173951695,FALSE,6.48526,,,165.636986,0.888563743,186.409796,13,3,1.74602,32,87.59435652,
PFC,100000048482653,2,2,Hangup,326.008163,4,3,108.8825894,0.33398731,0.60097827,TRUE,0.2195,16.01360943,17.48031,212.8652561,0.652944559,0,45.46666,0.13946479,0.068737788,FALSE,0.84807,,,280.541503,0.86053521,326.008163,22,8,4.15057,48,171.5491661,
PFC,100000048861850,2,2,Conversation,104.019592,4,1,54.94513832,0.528219129,0.751189724,TRUE,0.22948,16.56235832,38.38278,47.11889812,0.452980993,0,64.13424,0.616559234,0.662753148,FALSE,0.76825,,,39.885352,0.383440766,104.019592,15,20,35.74877832,10,19.72118812,
PFC,100000048746770,2,3,Unknown,162.795102,4,1,109.9700785,0.675512206,0.759843972,TRUE,0.2195,16.36281846,93.60726,50.82955869,0.31223027,0,5.30795,0.032605096,0.005515891,FALSE,67.29705,,,157.487152,0.967394904,162.795102,12,0,0,28,45.52160869,
PFC,100000048965305,2,2,Conversation,208.979592,4,3,94.59501,0.452651903,0.633264037,TRUE,0.2195,21.63085,9.23899,110.0644006,0.526675354,0,29.8322,0.142751738,0.012795221,FALSE,20.40363,,,179.147392,0.857248262,208.979592,13,3,1.42675,36,81.65895059,
PFC,100000048646328,2,3,Unknown,183.222857,4,1,128.9169979,0.703607618,0.778587754,TRUE,0.2195,20.66303789,108.25396,52.32037158,0.28555592,0,7.74241,0.042256791,0.017207678,FALSE,0.439,,,175.480447,0.957743209,183.222857,10,3,2.96326,27,47.54122158,
PFC,100000048738895,2,2,Conversation,960.10449,4,5,434.3725204,0.452422132,0.489666974,TRUE,0.22948,15.71428041,304.01881,519.0272077,0.540594501,0,336.96409,0.35096606,0.317327461,FALSE,34.8907,,,623.1404,0.64903394,960.10449,137,44,29.76219,200,212.7132847,
PFC,100000048651677,2,2,Unknown,104.228571,4,1,59.00591,0.566120301,0.763940926,TRUE,0.22948,21.64081,37.3651,43.22719615,0.414734614,0,8.55057,0.082036719,0.026803207,FALSE,8.18141,,,95.678001,0.917963281,104.228571,9,2,1.58639,17,36.71199615,
PFC,100000048640289,2,2,Conversation,66.873469,4,1,52.71021961,0.788208245,0.752034686,TRUE,0.2195,17.28072961,35.42949,12.25214286,0.183213807,0,49.25805,0.736585835,0.613498307,FALSE,1.55646,,,17.615419,0.263414165,66.873469,14,16,37.54466961,3,1.346932857,
PFC,100000048821024,2,2,Conversation,417.959184,4,10,100.3420044,0.240076085,0.398797766,TRUE,0.2195,21.6508,21.31160492,306.6720549,0.733736849,0,135.8313,0.324986997,0.362274131,FALSE,6.2059,,,282.127884,0.675013003,417.959184,51,23,36.21765,65,210.3109953,
PFC,100000048553187,2,3,Conversation,209.71102,4,3,89.89567,0.428664502,0.607208148,TRUE,0.22948,21.64082,9.17912,115.5051459,0.550782433,0,29.06394,0.138590428,0.064323658,FALSE,25.75147,,,180.64708,0.861409572,209.71102,24,2,0.75827,34,87.94777501,
PFC,100000048649751,2,2,Conversation,1385.952653,4,13,439.8604828,0.317370497,0.385616106,TRUE,0.2195,14.99592503,69.08308,931.1261838,0.671831164,0,313.00816,0.225843328,0.190021931,FALSE,1.73605,,,1072.944493,0.774156672,1385.952653,253,126,79.9879,278,698.8741738,
PFC,100000048881462,2,2,VoiceMail,90.331429,4,1,40.42812218,0.447553223,0.767608237,TRUE,0.22948,39.33061218,1.09751,47.90784197,0.530356295,0,17.6499,0.195390466,0.270608583,FALSE,15.71429,,,72.681529,0.804609534,90.331429,7,5,5.74695,11,36.00489197,
PFC,100000048991199,2,2,Conversation,837.955918,4,7,337.113719,0.402304837,0.424642381,TRUE,0.22948,21.68073,245.7014442,493.3891377,0.588800827,0,202.02095,0.241087801,0.274283569,FALSE,0.77823,,,635.934968,0.758912199,837.955918,131,46,42.84255,192,335.6075689,
PFC,100000048522245,2,2,Hangup,91.271837,4,1,62.98685,0.690101701,0.7643181,TRUE,0.2195,21.66077,41.32608,26.38004247,0.289027189,0,2.67393,0.029296332,0.04328849,FALSE,23.4068,,,88.597907,0.970703668,91.271837,4,0,0,14,24.53422912,
PFC,100000048975623,2,2,Conversation,84.741224,4,1,62.72744163,0.740223455,0.796620583,TRUE,0.22948,18.72744163,44,20.03827216,0.236464276,0,19.22632,0.226882727,0.185248257,FALSE,0.60862,,,65.514904,0.773117273,84.741224,13,11,11.01497,12,12.28588216,
PFC,100000048639670,2,2,Conversation,2525.309388,4,8,767.2052,0.303806418,0.323932217,TRUE,0.2195,21.63083,673.31858,1747.787635,0.692108319,0,1008.61851,0.399403936,0.377100289,TRUE,0.2195,,,1516.77187,0.600628136,2525.309388,421,200,155.76682,574,896.7829317,
PFC,100000048749376,2,2,Conversation,1544.881633,4,7,546.1488896,0.353521511,0.470100352,TRUE,0.2195,7.63265,470.95977,989.8429475,0.640724135,0,191.06538,0.123676388,0.162232377,FALSE,93.24807,,,1353.816253,0.876323612,1544.881633,191,67,36.39694,235,835.1745075,
PFC,100000048900347,2,2,Unknown,185.469388,4,6,110.4888622,0.595725599,0.648767463,TRUE,0.2195,14.4571422,17.34059,67.03766571,0.361448681,0,6.64488,0.035827368,0.058206047,FALSE,2.14512,,,178.824508,0.964172632,185.469388,8,2,1.4467,26,61.83948571,
PFC,100000048911007,2,2,Conversation,728.920816,4,8,224.2999833,0.307715157,0.361412489,TRUE,0.22948,7.6127,144.2718638,496.1700391,0.680691274,0,87.6506,0.12024708,0.071203838,FALSE,74.39093,,,641.270216,0.87975292,728.920816,65,8,4.89881,124,413.4182491,
PFC,100000048971454,2,2,Conversation,1030.896327,4,9,233.3298957,0.226336916,0.30860243,TRUE,0.2195,15.96371816,151.6056173,787.5990844,0.763994462,0,124.50706,0.120775539,0.132612132,FALSE,75.43855,,,906.389267,0.879224461,1030.896327,89,11,4.60956,185,668.5795822,
PFC,100000048538673,2,3,Hangup,74.083265,4,1,58.49705077,0.789612212,0.766738973,TRUE,0.22948,18.31836077,40.17869,13.59074938,0.183452354,0,0,0,0,FALSE,,,,74.083265,1,74.083265,0,0,0,12,13.59074938,
PFC,100000049132301,2,2,Hangup,91.689796,4,1,68.18502,0.743648944,0.763215745,TRUE,0.2195,21.67074,46.51428,21.55103515,0.235042896,0,0.76826,0.008378904,0,FALSE,63.30612,,,90.921536,0.991621096,91.689796,2,0,0,13,20.78277515,
PFC,100000048589732,2,2,Conversation,950.334694,4,5,269.83683,0.283938734,0.415198684,FALSE,0.2195,21.67075,140.96971,673.7831248,0.708995609,0,235.18533,0.247476317,0.276956657,TRUE,0.17959,,,715.149364,0.752523683,950.334694,153,51,41.83487,195,481.1210997,
PFC,100000048984839,2,2,Conversation,644.179592,4,8,192.0436001,0.298121211,0.452571618,TRUE,0.2195,21.63084,79.90846989,443.4058332,0.688326421,0,41.62526,0.064617477,0.059258537,FALSE,78.02267,,,602.554332,0.935382523,644.179592,54,5,1.96551,114,403.7460832,
PFC,100000048489558,2,2,Conversation,768.417959,4,4,361.308969,0.470198497,0.536638887,TRUE,0.2195,16.45260902,192.22327,401.7212349,0.522790013,0,289.67147,0.376971239,0.41630664,FALSE,6.8644,,,478.746489,0.623028761,768.417959,165,109,98.95518,143,211.0049449,
PFC,100000048569183,2,2,Unknown,64.470204,4,1,47.50205669,0.736806365,0.738767592,TRUE,0.22948,18.29841669,29.20364,14.98265978,0.232396655,0,1.4966,0.023213824,0,FALSE,45.41678,,,62.973604,0.976786176,64.470204,4,2,1.39683,11,14.88288978,
PFC,100000048851841,2,2,Conversation,1993.090612,4,15,464.1045783,0.232856738,0.294830794,TRUE,0.2195,21.66077,288.1544,1513.720728,0.759484149,0,567.06995,0.284517897,0.288953733,FALSE,2.67392,,,1426.020662,0.715482103,1993.090612,329,115,70.08059376,430,1019.40528,
PFC,100000049043803,2,2,Conversation,731.324082,4,8,294.5604,0.402776836,0.485665344,TRUE,0.2195,16.08344,209.33409,426.5369246,0.583239271,0,190.97596,0.261137251,0.243824707,FALSE,8.13152,,,540.348122,0.738862749,731.324082,109,34,21.61102,152,257.1719846,
PFC,100000048673300,2,2,Conversation,605.831837,4,9,279.4349402,0.461241756,0.578911207,TRUE,0.2195,21.68072,50.31563,316.5991644,0.522585881,0,81.2554,0.134122037,0.03007214,FALSE,0.64853,,,524.576437,0.865877963,605.831837,67,14,7.00408,120,242.6671296,
