@relation HoldTimeAbandon
@attribute agent_ring_count real
@attribute agent_speech_duration real
@attribute agent_speech_ratio real
@attribute agent_first_half_speech_ratio real
@attribute agent_spoke_first real
@attribute agent_first_speech_time real
@attribute agent_speech_duration_before_ring real
@attribute agent_speech_duration_after_ring real
@attribute agent_silence_duration real
@attribute agent_silence_ratio real
@attribute caller_ring_count real
@attribute caller_speech_duration real
@attribute caller_speech_ratio real
@attribute caller_first_half_speech_ratio real
@attribute caller_spoke_first real
@attribute caller_first_speech_time real
@attribute caller_speech_duration_before_ring real
@attribute caller_speech_duration_after_ring real
@attribute caller_silence_duration real
@attribute caller_silence_ratio real
@attribute analyzed_call_duration real
@attribute conversation_switch_count real
@attribute overlapping_speech_count real
@attribute overlapping_speech_duration real
@attribute overlapping_silence_count real
@attribute overlapping_silence_duration real
@attribute estimated_hold_time_duration real
@attribute agent_eighths_speech_seg_ratio_0 real
@attribute agent_eighths_speech_seg_ratio_1 real
@attribute agent_eighths_speech_seg_ratio_2 real
@attribute agent_eighths_speech_seg_ratio_3 real
@attribute agent_eighths_speech_seg_ratio_4 real
@attribute agent_eighths_speech_seg_ratio_5 real
@attribute agent_eighths_speech_seg_ratio_6 real
@attribute agent_eighths_speech_seg_ratio_7 real
@attribute caller_eighths_speech_seg_ratio_0 real
@attribute caller_eighths_speech_seg_ratio_1 real
@attribute caller_eighths_speech_seg_ratio_2 real
@attribute caller_eighths_speech_seg_ratio_3 real
@attribute caller_eighths_speech_seg_ratio_4 real
@attribute caller_eighths_speech_seg_ratio_5 real
@attribute caller_eighths_speech_seg_ratio_6 real
@attribute caller_eighths_speech_seg_ratio_7 real
@attribute overlapping_speech_ratio real
@attribute overlapping_silence_ratio real
@attribute overlapping_silence_large_count real
@attribute agent_speech_duration_after_last_hold real
@attribute eighths_overlapping_silence_seg_ratio_0 real
@attribute eighths_overlapping_silence_seg_ratio_1 real
@attribute eighths_overlapping_silence_seg_ratio_2 real
@attribute eighths_overlapping_silence_seg_ratio_3 real
@attribute eighths_overlapping_silence_seg_ratio_4 real
@attribute eighths_overlapping_silence_seg_ratio_5 real
@attribute eighths_overlapping_silence_seg_ratio_6 real
@attribute eighths_overlapping_silence_seg_ratio_7 real
@attribute caller_final_speech_ratio real
@attribute final_overlapping_silence_ratio real
@attribute final_switch_count real
@attribute agent_final_speech_end real
@attribute caller_final_speech_end real
@attribute classification {No,Sale}
@data
1.0,90.4843850340136,0.7225397112793108,0.7912960388570437,1.0,0.22948,14.975965034013607,75.50842,32.7511701133787,0.2615260189797919,0.0,18.27846,0.14595792639874688,0.07122612272901714,0.0,20.84263,-1.0,-1.0,106.95256,0.8540420736012532,125.23102,12.0,6.0,2.7437599999999875,22.0,17.21647011337869,0.0,0.90503,0.5736,0.73868,0.94787,0.62717,0.57937,0.51157,0.89702,0.0,0.12811,0.15679,0.0,0.29128,0.17209,0.38242,0.03697,0.021909587576624288,0.1374776801576693,0.0,-1.0,0.09497,0.1944,0.1262,0.05213,0.16696,0.25173,0.11047,0.10298,0.028934500000000002,0.1095320000000001,2.0,0.29496,11.88861,No

3.0,70.83898972789116,0.6614158709439641,0.7952404983186299,1.0,0.2195,20.872559727891158,0.0,31.912937893424036,0.2979675979603791,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,107.102041,1.0,107.102041,0.0,0.0,0.0,14.0,31.912937893424036,11.384129999999999,0.92026,0.63882,0.92148,0.70041,0.66084,0.19228,0.95149,0.30576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2979675979603791,1.0,19.40589,0.07974,0.21287,0.07852,0.29959,0.33916,0.80772,0.04851,0.51762,0.0,0.34648525748299336,0.0,9.29433,107.10204,No

2.0,61.51021,0.5811174068273627,0.6897999731936775,1.0,0.2195,21.62086,8.53061,41.186383560090704,0.38910815637008933,0.0,1.38686,0.013102353037529806,0.009426143748947253,0.0,27.72698,-1.0,-1.0,104.46130299999999,0.9868976469624701,105.848163,4.0,0.0,0.0,15.0,40.56777741496599,16.95146000000001,0.91705,0.71705,0.19405,0.93105,0.68286,0.36758,0.19455,0.64239,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.06711,0.0,0.3832638778527124,1.0,11.10476,0.08295,0.28295,0.61819,0.06895,0.31714,0.63242,0.80545,0.25807,0.044399499999999995,0.3804710971655325,2.0,-0.0312,11.70212,No

8.0,109.46125736961454,0.4823105149380859,0.6335303511995808,1.0,0.2195,21.62086,18.218617188208622,108.85021681859412,0.47961813509618834,0.0,17.041269999999997,0.07508760548168639,0.1048060254299682,0.0,6.07619,-1.0,-1.0,209.91056700000001,0.9249123945183136,226.951837,21.0,5.0,2.8135999999999957,38.0,95.38081783900228,10.483807000000013,0.76213,0.74057,0.84279,0.18863,0.63749,0.20401,0.48286,0.0,0.09637,0.03306,0.03728,0.25252,0.03411,0.0,0.08511,0.06225,0.01239734402326074,0.4202689834980374,1.0,0.0,0.13236,0.23868,0.12978,0.5177,0.24504,0.68556,0.47529,0.93775,0.047392000000000004,0.9526080000000008,0.0,28.72237,10.48381,No

5.0,143.39408984126982,0.6174696301312117,0.5698506444380171,1.0,0.2195,16.25306492063492,41.6353722222222,84.0154335396825,0.36177905749453415,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,232.228571,1.0,232.228571,0.0,0.0,0.0,27.0,84.0154335396825,34.910669999999996,0.73913,0.84124,0.40832,0.29071,0.58274,0.59693,0.77368,0.70701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36177905749453415,3.0,85.66528492063493,0.19248,0.15876,0.59168,0.70929,0.41726,0.32127,0.21051,0.29299,0.0,0.3305215000000004,0.0,0.60499,232.22857,No

8.0,401.2578039229024,0.3046176636909411,0.3163654995104341,1.0,0.2195,16.402730430839,314.8641413378685,907.2426946984133,0.6887396266386501,0.0,216.16882999999993,0.16410607672581587,0.16618163469109093,0.0,21.66077,-1.0,-1.0,1101.0817819999995,0.8358939232741837,1317.250612,181.0,48.0,28.15610000000018,244.0,719.2299646984129,268.6093900000003,0.58329,0.35079,0.18705,0.14434,0.21396,0.30687,0.19966,0.45098,0.10289,0.2385,0.16621,0.15712,0.17633,0.1287,0.13976,0.20333,0.021374899919196378,0.54600844983203,19.0,76.09691000000001,0.29934,0.42307,0.6568,0.70545,0.64994,0.5766,0.68436,0.3725,0.24649639999999642,0.23418609999999945,4.0,4.59387,2.96766,No

6.0,250.99954022675738,0.3240885103079417,0.426904836263186,1.0,0.22948,23.42676022675737,164.49614,515.5967406054422,0.6657342058534762,0.0,94.38554000000003,0.12186982105853969,0.1819266399212414,0.0,52.99955,-1.0,-1.0,680.0928269999999,0.8781301789414602,774.478367,79.0,24.0,13.918409999999817,111.0,435.80807080952354,267.7115799999999,0.67165,0.41956,0.49583,0.12058,0.0,0.09862,0.24281,0.54366,0.03731,0.22519,0.23343,0.23178,0.02886,0.04277,0.00629,0.16933,0.017971334762924136,0.5627117417077235,23.0,75.03942000000002,0.27981,0.32454,0.31052,0.66784,0.97114,0.86665,0.7509,0.3303,0.1995485,0.8004515000000026,0.0,22.27794,3.58042,No

1.0,79.81859199546486,0.6585248882574424,0.7581565854680076,1.0,0.22948,21.291601995464852,58.52699,39.40408347619048,0.32509430471436546,0.0,6.09614,0.050294797389182445,0.08676065819098339,0.0,0.76825,-1.0,-1.0,115.11202300000001,0.9497052026108176,121.208163,8.0,2.0,1.8657619954648497,19.0,35.971893476190495,13.599090000000018,0.90451,0.58974,0.93876,0.59962,0.94205,0.50479,0.46606,0.32268,0.03029,0.31675,0.0,0.0,0.0,0.0,0.0,0.05532,0.015393039126125933,0.2967778125322343,1.0,4.88889,0.09549,0.108,0.06124,0.40038,0.05795,0.49521,0.53394,0.62201,0.0419045,0.7136510000000001,1.0,2.18865,7.83583,No

3.0,338.989392063492,0.3651361187738362,0.39191960401412296,1.0,0.2195,14.626762063492063,233.03017999999997,585.030533287982,0.6301547579074438,0.0,116.45513999999996,0.12543748809372604,0.06162468768023006,0.0,64.84263,-1.0,-1.0,811.9366969999998,0.8745625119062737,928.391837,82.0,13.0,6.225830000000201,139.0,474.80122328798205,202.63945997732426,0.71334,0.3427,0.32954,0.1821,0.13764,0.24443,0.36719,0.60374,0.04608,0.01934,0.01014,0.17093,0.21656,0.28068,0.10122,0.15854,0.0067060369898536715,0.5114233068035712,15.0,141.08903,0.22683,0.61707,0.66031,0.66409,0.66032,0.48384,0.53159,0.24735,0.0,0.1102510000000052,0.0,-0.04804,39.91113,No

